id,title,description,link,image_link,price,availability,condition,brand,category,game
terraforming_mars_inserts,Terraforming Mars inserts,"Precision-crafted inserts for Terraforming Mars. Every tile, cube, and card gets its own slot — setup in under a minute, cleanup in seconds.",https://tabletopreboxing.shop/products/terraforming_mars_inserts,https://tabletopreboxing.shop/feed-images/terraforming_mars_inserts.jpg,1350 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Terraforming Mars
wingspan_inserts,Wingspan inserts with magnets,"Magnetic-close inserts for Wingspan with all three expansions (European, Oceania, Asia). Keeps eggs, food tokens, and bird cards perfectly organized between sessions.",https://tabletopreboxing.shop/products/wingspan_inserts,https://tabletopreboxing.shop/feed-images/wingspan_inserts.jpeg,1400 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Wingspan
sky_team_inserts,Sky Team inserts,Compact inserts for Sky Team with Turbulence expansion. Everything stays snug in the box — no more rattling components on the shelf.,https://tabletopreboxing.shop/products/sky_team_inserts,https://tabletopreboxing.shop/feed-images/sky_team_inserts.jpg,570 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Sky Team
codenames_travel_box,Codenames Travel Box,A slim travel box for Codenames — fits all cards and tiles in a pocket-friendly package. Perfect for game nights away from home.,https://tabletopreboxing.shop/products/codenames_travel_box,https://tabletopreboxing.shop/feed-images/codenames_travel_box.png,250 INR,in stock,new,Tabletop Re-Boxing,Travel Boxes,Condenames
terraforming_mars_overlay_mats,Terraforming Mars Overlay Mats,Snap-fit overlay mats that sit on top of your Terraforming Mars player boards. No more accidentally bumping your cubes out of place mid-game.,https://tabletopreboxing.shop/products/terraforming_mars_overlay_mats,https://tabletopreboxing.shop/feed-images/terraforming_mars_overlay_mats.jpg,90 INR,in stock,new,Tabletop Re-Boxing,Board Game Upgrades,Terraforming Mars
card_and_resource_tray,Card & Resource Tray - 4 Small Slots,"A 4-slot tray that keeps cards and resources tidy at the table. Slim enough to pass around, sturdy enough for everyday use.",https://tabletopreboxing.shop/products/card_and_resource_tray,https://tabletopreboxing.shop/feed-images/card_and_resource_tray.jpg,80 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
meeple_shaped_stackable_board_game_resource_tray,Meeple Shaped Stackable Resource Tray,"A playful meeple-shaped tray that stacks neatly when not in use. Great for holding tokens, coins, or small resources during any game.",https://tabletopreboxing.shop/products/meeple_shaped_stackable_board_game_resource_tray,https://tabletopreboxing.shop/feed-images/meeple_shaped_stackable_board_game_resource_tray.jpg,60 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
stackable_hexagon_token_tray,Stackable Hexagon Token Tray,"Hexagonal trays that stack securely when not in use. Ideal for sorting tokens, dice, and small components across multiple games.",https://tabletopreboxing.shop/products/stackable_hexagon_token_tray,https://tabletopreboxing.shop/feed-images/stackable_hexagon_token_tray.jpg,50 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
wingspan_food_tokens,Wingspan 3D Food Tokens,"Detailed 3D food tokens to replace the cardboard originals in Wingspan. Five types — worm, wheat, berry, fish, and mouse — each in a distinct color for quick identification.",https://tabletopreboxing.shop/products/wingspan_food_tokens,https://tabletopreboxing.shop/feed-images/wingspan_food_tokens.png,250 INR,in stock,new,Tabletop Re-Boxing,Board Game Upgrades,Wingspan
7_wonders_duel_travel_box,7 Wonders Duel Travel Box,A pocket-sized travel box for 7 Wonders Duel. Holds all components securely so you can take your favorite two-player game anywhere.,https://tabletopreboxing.shop/products/7_wonders_duel_travel_box,https://tabletopreboxing.shop/feed-images/7_wonders_duel_travel_box.jpg,290 INR,in stock,new,Tabletop Re-Boxing,Travel Boxes,7 Wonders Duel
